0.54,0.0063764
0.92055,0.0028957
0.27205,0.0017243
0.73046,0.00057031
0.72514,1.8967e-05
0.73356,0.00015063
0.71945,0.00049009
0.7433,0.0005513
0.70273,0.0002913
0.76911,3.3945e-05
0.65358,3.8062e-05
0.83322,0.00022497
0.51161,0.00032691
0.91979,0.00022131
0.27172,4.7843e-05
0.7283,7.9973e-06
0.72822,0.00012094
0.72841,0.00022378
0.72828,0.00018575
0.72846,5.9981e-05
0.72804,2.2386e-07
0.72865,6.6142e-05
0.72771,0.00016046
0.72937,0.00016077
0.72658,6.9897e-05
0.73114,1.843e-06
0.72338,3.4074e-05
0.73636,0.00011585
0.71453,0.00013977
0.75075,NaN
