INPUT
0.011881
0.0032154
0.00042035
0.00017061
0.00086243
0.0005469
9.7407e-06
0.00026191
0.00048568
0.00014875
2.4995e-05
0.00029356
0.00026726
1.8024e-05
9.8747e-05
0.0002623
0.00011422
4.0308e-06
0.00015801
